epoch,accuracy,loss,sparse_categorical_accuracy,val_accuracy,val_loss,val_sparse_categorical_accuracy
0,0.6082274913787842,11175.16796875,0.6082274913787842,0.5,10121.5,0.5
1,0.8453968167304993,9208.9443359375,0.8453968167304993,0.5,8392.1923828125,0.5
2,0.8659523725509644,7664.85986328125,0.8659523725509644,0.5001851916313171,7014.06298828125,0.5001851916313171
3,0.8368253707885742,6430.7587890625,0.8368253707885742,0.7067592740058899,5900.2529296875,0.7067592740058899
4,0.8497883677482605,5432.5693359375,0.8497883677482605,0.7214815020561218,4995.181640625,0.7214815020561218
5,0.8601322770118713,4616.1123046875,0.8601322770118713,0.5109259486198425,4256.3349609375,0.5109259486198425
6,0.8748942017555237,3941.798828125,0.8748942017555237,0.6765740513801575,3673.026611328125,0.6765740513801575
7,0.8733597993850708,3379.544189453125,0.8733597993850708,0.5132407546043396,3128.623046875,0.5132407546043396
8,0.8875661492347717,2907.107177734375,0.8875661492347717,0.8506481647491455,2695.35888671875,0.8506481647491455
9,0.8905026316642761,2507.8974609375,0.8905026316642761,0.9324073791503906,2326.815673828125,0.9324073791503906
10,0.8989946842193604,2168.1328125,0.8989946842193604,0.5916666388511658,2015.3251953125,0.5916666388511658
11,0.901878297328949,1878.1864013671875,0.901878297328949,0.8222222328186035,1772.8245849609375,0.8222222328186035
12,0.9066137671470642,1629.0196533203125,0.9066137671470642,0.9434259533882141,1515.378173828125,0.9434259533882141
13,0.9124603271484375,1414.4677734375,0.9124603271484375,0.9425926208496094,1315.935791015625,0.9425926208496094
14,0.9125661253929138,1228.9541015625,0.9125661253929138,0.9325925707817078,1143.4647216796875,0.9325925707817078
15,0.9187036752700806,1067.715576171875,0.9187036752700806,0.7648147940635681,993.3856201171875,0.7648147940635681
16,0.9147089719772339,927.9134521484375,0.9147089719772339,0.941944420337677,862.6926879882812,0.941944420337677
17,0.9067460298538208,806.3734741210938,0.9067460298538208,0.7693518400192261,750.2088623046875,0.7693518400192261
18,0.9159523844718933,699.4097290039062,0.9159523844718933,0.9449074268341064,649.1957397460938,0.9449074268341064
19,0.9197089672088623,605.7160034179688,0.9197089672088623,0.9335185289382935,561.8114013671875,0.9335185289382935
20,0.9221428632736206,523.8963623046875,0.9221428632736206,0.6489814519882202,492.7330017089844,0.6489814519882202
21,0.9266666769981384,452.04290771484375,0.9266666769981384,0.9505555629730225,417.93292236328125,0.9505555629730225
22,0.9330952167510986,388.9054870605469,0.9330952167510986,0.8831481337547302,359.3076477050781,0.8831481337547302
23,0.9333598017692566,333.78521728515625,0.9333598017692566,0.9587963223457336,307.7789306640625,0.9587963223457336
24,0.9344973564147949,285.3796081542969,0.9344973564147949,0.857962965965271,262.5527038574219,0.857962965965271
25,0.938359797000885,242.85494995117188,0.938359797000885,0.9572222232818604,222.86241149902344,0.9572222232818604
26,0.9392328262329102,205.78433227539062,0.9392328262329102,0.7894444465637207,188.43484497070312,0.7894444465637207
27,0.9413756728172302,173.3712615966797,0.9413756728172302,0.6883333325386047,159.0304718017578,0.6883333325386047
28,0.9419047832489014,145.05081176757812,0.9419047832489014,0.8576852083206177,132.306884765625,0.8576852083206177
29,0.9433862566947937,120.49046325683594,0.9433862566947937,0.9580555558204651,108.99149322509766,0.9580555558204651
30,0.9464285969734192,99.19331359863281,0.9464285969734192,0.932962954044342,89.17633056640625,0.932962954044342
31,0.9488624334335327,80.82439422607422,0.9488624334335327,0.9478703737258911,72.56463623046875,0.9478703737258911
